current_player,is_current_player_hand_winner,is_current_player_game_winner,current_player_score,opponent_score,current_player_deadwood,current_player_num_hit_cards,num_melds,point_sum_melds,num_combos,point_sum_combos,num_knock_cache,point_sum_knock_cache,num_load_cards,point_sum_load_cards,turns_taken
1.0,0,0,89.0,45.0,45.0,8.0,0.0,0.0,4.0,23.0,4.0,5.0,3.0,19.0,2.0
0.0,1,1,89.0,45.0,69.0,5.0,0.0,0.0,3.0,32.0,3.0,7.0,3.0,29.0,2.0
1.0,0,0,89.0,45.0,39.0,8.0,0.0,0.0,5.0,28.0,4.0,5.0,2.0,11.0,3.0
0.0,1,1,89.0,45.0,60.0,7.0,0.0,0.0,4.0,32.0,3.0,3.0,2.0,20.0,3.0
1.0,0,0,89.0,45.0,39.0,8.0,0.0,0.0,5.0,28.0,4.0,5.0,2.0,11.0,4.0
0.0,1,1,89.0,45.0,54.0,10.0,0.0,0.0,5.0,38.0,4.0,6.0,1.0,10.0,4.0
1.0,0,0,89.0,45.0,39.0,8.0,0.0,0.0,5.0,28.0,4.0,5.0,2.0,11.0,5.0
0.0,1,1,89.0,45.0,52.0,12.0,0.0,0.0,6.0,52.0,4.0,6.0,0.0,0.0,5.0
1.0,0,0,89.0,45.0,39.0,8.0,0.0,0.0,5.0,28.0,4.0,5.0,2.0,11.0,6.0
0.0,1,1,89.0,45.0,45.0,10.0,0.0,0.0,5.0,37.0,4.0,4.0,0.0,0.0,6.0
1.0,0,0,89.0,45.0,39.0,7.0,0.0,0.0,5.0,28.0,4.0,5.0,2.0,11.0,7.0
